title,author,year,type,volume,issue,pages,venue,venueShort,publisher,doi,url,abstract,keywords,citedBy,citedByPerYear,quality,objective,technology,data,participants,maturity,device
Usability evaluation of mobile health application from AI perspective in rural areas of Pakistan,"Dahri, Abdul Samad; Al-Athwari, Ahmaed; Hussain, Azham",2019,journalArticle,13,11,213 – 225,International Journal of Interactive Mobile Technologies,,International Association of Online Engineering,10.3991/ijim.v13i11.11513,https://doi.org/10.3991/ijim.v13i11.11513,"Purpose: This study endorses AI enabled Mobile Health application and investigates usability evaluation of the Mobile Health application by patients' task performance evaluation and satisfaction. Materials and Methods: International Organization for Standards (ISO) 9241-11 standard metrics were used and 15 patients performed tasks on task success rate, errors, efficiency (time spent), satisfaction (SUS scale). Results: Getting registered was a top easy task while finding a relevant doctor was the most difficult task for users. The satisfaction scores by SUS suggest good rather excellent application user experience. Male were successful task achievers, while educational level and mobile know-how influence the usability scores in terms of time consumed, task errors occurred, and task completed. Conclusion: Methods used in this study suggest future research from different contexts. Using ISO 9241-11 usability standards, the SUS instrument for satisfaction, and measuring user characteristics influence performance and can provide considerable Mobile Health design. © International Association of Online Engineering.",Artificial intelligence; Developing countries; Healthcare; Mobile health (mHealth); Usability,17,3.09,Q3,Usability attribute evaluation,Descriptive metrics,User interactions,yes,prototype,mobile
Detecting Emotions Through Machine Learning for Automatic UX Evaluation,"Desolda, Giuseppe; Esposito, Andrea; Lanzilotti, Rosa; Costabile, Maria F.",2021,conferencePaper,12934,,270-279,Human-Computer Interaction–INTERACT 2021: 18th IFIP TC 13 International Conference,INTERACT,Springer Nature,10.1007/978-3-030-85613-7_19,https://doi.org/10.1007/978-3-030-85613-7_19,"Although User eXperience (UX) is widely acknowledged as an important aspect of software products, its evaluation is often neglected during the development of most software products, primarily because developers think that it is resource-demanding and complain about the fact that is scarcely automated. Various attempts have been made to develop tools that support and automate the execution of tests with users. This paper is about an ongoing research work that exploits Machine Learning (ML) for automatic UX evaluation, specifically for understanding users' emotions by analyzing the log data of the users' interactions with websites. The approach described aims at overcoming some limitations of existing proposals based on ML.",Automatic UX evaluation; Usability; User eXperience; User experience; Machine learning; Human computer interaction; Software products; ITS evaluation; User experiences (ux); Log data,16,4.57,B,Affective state detection,"Machine learning, Computer vision","User interactions, Video",yes,prototype,desktop
An Intelligent Framework for Website Usability,"Dingli, Alexiei; Cassar, Sarah",2014,journalArticle,2014,,,Advances in Human-Computer Interaction,,Wiley,10.1155/2014/479286,https://doi.org/10.1155/2014/479286,"With the major advances of the Internet throughout the past couple of years, websites have come to play a central role in the modern marketing business program. However, simply owning a website is not enough for a business to prosper on the Web. Indeed, it is the level of usability of a website that determines if a user stays or abandons it for another competing one. It is therefore crucial to understand the importance of usability on the web, and consequently the need for its evaluation. Nonetheless, there exist a number of obstacles preventing software organizations from successfully applying sound website usability evaluation strategies in practice. From this point of view automation of the latter is extremely beneficial, which not only assists designers in creating more usable websites, but also enhances the Internet users' experience on the Web and increases their level of satisfaction. As a means of addressing this problem, an Intelligent Usability Evaluation (IUE) tool is proposed that automates the usability evaluation process by employing a Heuristic Evaluation technique in an intelligent manner through the adoption of several research-based AI methods. Experimental results show there exists a high correlation between the tool and human annotators when identifying the considered usability violations.",,69,6.57,Q3,Automatic guideline evaluation,Rule-based systems,Source code,no,tool,desktop
Webthetics: Quantifying webpage aesthetics with deep learning,"Dou, Qi; Zheng, Xianjun Sam; Sun, Tongfang; Heng, Pheng-Ann",2019,journalArticle,124,,56-66,International Journal of Human-Computer Studies,,Elsevier,10.1016/j.ijhcs.2018.11.006,https://doi.org/10.1016/j.ijhcs.2018.11.006,"As web has become the most popular media to attract users and customers worldwide, webpage aesthetics plays an increasingly important role for engaging users online and impacting their user experience. We present a novel method using deep learning to automatically compute and quantify webpage aesthetics. Our deep neural network, named as Webthetics, which is trained from the collected user rating data, can extract representative features from raw webpages and quantify their aesthetics. To improve the model performance, we propose to transfer the knowledge from image style recognition task into our network. We have validated that our method significantly outperforms previous method using hand-crafted features such as colorfulness and complexity. These promising results indicate that our method can serve as an effective and efficient means for providing objective aesthetics evaluation during the design process.",Webpage aesthetics; Deep learning; Web visual design; User experience,71,12.91,Q1,Aesthetics evaluation,"Deep learning, Computer vision",Images,no,prototype,desktop
Optimizing User Interface Layouts via Gradient Descent,"Duan, Peitong; Wierzynski, Casimir; Nachman, Lama",2020,conferencePaper,,,1–12,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3313831.3376589,https://doi.org/10.1145/3313831.3376589,"Automating parts of the user interface (UI) design process has been a longstanding challenge. We present an automated technique for optimizing the layouts of mobile UIs. Our method uses gradient descent on a neural network model of task performance with respect to the model's inputs to make layout modifications that result in improved predicted error rates and task completion times. We start by extending prior work on neural network based performance prediction to 2-dimensional mobile UIs with an expanded interaction space. We then apply our method to two UIs, including one that the model had not been trained on, to discover layout alternatives with significantly improved predicted performance. Finally, we confirm these predictions experimentally, showing improvements up to 9.2 percent in the optimized layouts. This demonstrates the algorithm's efficacy in improving the task performance of a layout, and its ability to generalize and improve layouts of new interfaces.",Optimization; data-driven design; gradient descent; deep learning; mobile interfaces; LSTM; performance modeling;,24,5.33,A*,Usability attribute evaluation,Deep learning,User interactions,yes,prototype,mobile
Towards Generating UI Design Feedback with LLMs,"Duan, Peitong; Warner, Jeremy; Hartmann, Bjoern",2023,conferencePaper,,,,Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,UIST,ACM,10.1145/3586182.3615810,https://doi.org/10.1145/3586182.3615810,"Feedback on user interface (UI) mockups is crucial for the design process, and designers often seek and leverage feedback to improve their UIs. However, human feedback is not always readily available. Given the recent emergence of LLMs, which have been shown to be proficient in rule-based reasoning, we explore the potential of LLMs to provide feedback automatically. In particular, we investigate automating heuristic evaluation, which currently entails a human expert assessing how well a UI adheres to a given set of design guidelines. We build an LLM-based heuristic evaluation plugin for Figma, which designers can use to evaluate their UI mockups. The plugin queries the LLM with the guidelines and a JSON representation of the UI mockup and then renders the identified guideline violations as constructive suggestions for design improvements. Future work is needed to study what types of usability problems can be successfully identified by LLM-driven heuristic evaluation. © 2023 Owner/Author.",User interfaces; Heuristic evaluation; Mockups; Design-process; Product design; Petroleum reservoir evaluation; User interface designs; Human expert; Usability problems; Design improvements; Plug-ins; Computational user interface design; Design feedbacks; Rule-based reasoning; Computational UI Design; Design Feedback,5,3.33,A*,Automated feedback generation,LLM,Source code,no,tool,desktop
When people and algorithms meet: user-reported problems in intelligent everyday applications,"Eiband, Malin; Völkel, Sarah Theres; Buschek, Daniel; Cook, Sophia; Hussmann, Heinrich",2019,conferencePaper,,,96–106,Proceedings of the 24th International Conference on Intelligent User Interfaces,IUI,ACM,10.1145/3301275.3302262,https://doi.org/10.1145/3301275.3302262,"The complex nature of intelligent systems motivates work on supporting users during interaction, for example through explanations. However, there is yet little empirical evidence on specific problems users face in such systems in everyday use. This paper investigates such problems as reported by users: We analysed 35,448 reviews of three apps on the Google Play Store (Facebook, Netflix and Google Maps) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps' algorithmic decision-making. We enriched this data with users' coping and support strategies through a follow-up online survey (N=286). In particular, we found problems and strategies related to content, algorithm, user choice, and feedback. We discuss corresponding implications for designing user support, highlighting the importance of user control and explanations of output, not processes. Our work thus contributes empirical evidence to facilitate understanding of users' everyday problems with intelligent systems.",algorithm; explanations; transparency; user control,81,14.73,A,Feedback evaluation,NLP,Text,yes,prototype,device independent
A Method and Analysis to Elicit User-Reported Problems in Intelligent Everyday Applications,"Eiband, Malin; Völkel, Sarah Theres; Buschek, Daniel; Cook, Sophia; Hussmann, Heinrich",2020,journalArticle,10,4,,ACM Transactions on Interactive Intelligent Systems,,ACM,10.1145/3370927,https://doi.org/10.1145/3370927,"The complex nature of intelligent systems motivates work on supporting users during interaction, for example, through explanations. However, as of yet, there is little empirical evidence in regard to specific problems users face when applying such systems in everyday situations. This article contributes a novel method and analysis to investigate such problems as reported by users: We analysed 45,448 reviews of four apps on the Google Play Store (Facebook, Netflix, Google Maps, and Google Assistant) with sentiment analysis and topic modelling to reveal problems during interaction that can be attributed to the apps’ algorithmic decision-making. We enriched this data with users’ coping and support strategies through a follow-up online survey (N = 286). In particular, we found problems and strategies related to content, algorithm, user choice, and feedback. We discuss corresponding implications for designing user support, highlighting the importance of user control and explanations of output rather than processes.",Algorithm; explanations; transparency; user control,4,0.89,Q3,Feedback evaluation,NLP,Text,yes,prototype,device independent
Automating GUI testing with image-based deep reinforcement learning,"Eskonen, Juha; Kahles, Julen; Reijonen, Joel",2020,conferencePaper,,,160 – 167,"Proceedings - 2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems, ACSOS 2020",ACSOS,IEEE,10.1109/ACSOS49614.2020.00038,https://doi.org/10.1109/ACSOS49614.2020.00038,"Users interact with modern applications and devices through graphical user interfaces (GUIs). To ensure intuitive and easy usability, the GUIs need to be tested, where developers aim at finding possible bugs and inconsistent functionality. Manual GUI testing requires time and effort, and thus, its efficiency can be improved with automation. Conventional automation tools for GUI testing reduce the burden of manual testing but also introduce challenges in the maintenance of test cases. In order to overcome these issues, we propose a deep-reinforcement-learning-based (DRL) solution for automated and adaptive GUI testing. Specifically, we propose and evaluate the performance of an image-based DRL solution. We adapt the asynchronous advantage actor-critic (A3C) algorithm to GUI testing inspired by how a human uses a GUI. We feed screenshots of the GUI as the input and let the algorithm decide how to interact with GUI components. We observe that our solution can achieve up to six times higher exploration efficiency compared to selected baseline algorithms. Moreover, our solution is more efficient than inexperienced human users and almost as efficient as an experienced human user in our experimental GUI testing scenario. For these reasons, image-based DRL exploration can be considered as a viable GUI testing method. © 2020 IEEE.",Actor critic; Adaptive GUI; Automation; Automation tools; Deep learning; Efficiency; Graphical user interface (GUIs); Graphical user interfaces; Human users; Its efficiencies; Manual testing; Modern applications; Reinforcement learning; Testing,39,8.67,-,Automatic guideline evaluation,"Deep learning, Computer vision",Images,no,prototype,desktop
SERENE: a Web platform for the UX semi-automatic evaluation of website,"Esposito, Andrea; Desolda, Giuseppe; Lanzilotti, Rosa; Costabile, Maria Francesca",2022,conferencePaper,,,,Proceedings of the 2022 International Conference on Advanced Visual Interfaces,AVI,ACM,10.1145/3531073.3534464,https://doi.org/10.1145/3531073.3534464,"This demo presents SERENE, a Web platform for the UX semi-automatic evaluation of websites. It exploits Artificial Intelligence to predict visitors' emotions starting from their interaction logs. The predicted emotions are shown by interactive heatmaps overlapped to the webpage to be analyzed. The concentration of negative emotions in a specific area of the webpage can help the UX experts identify UX problems. © 2022 Owner/Author.",Automatic UX evaluation; User eXperience; Automatic evaluation; Users' experiences; Websites; Semi-automatics; Heatmaps; Web-page; Evaluation of websites; Specific areas; UX smell; automatic UX evaluation; UX Smells,5,2,B,Affective state detection,Machine learning,User interactions,yes,tool,desktop
The fine line between automation and augmentation in website usability evaluation,"Esposito, Andrea; Desolda, Giuseppe; Lanzilotti, Rosa",2024,journalArticle,14,1,,Scientific Reports,,Springer Nature,10.1038/s41598-024-59616-0,https://doi.org/10.1038/s41598-024-59616-0,"Artificial Intelligence (AI) systems are becoming widespread in all aspects of society, bringing benefits to the whole economy. There is a growing understanding of the potential benefits and risks of this type of technology. While the benefits are more efficient decision processes and industrial productivity, the risks may include a potential progressive disengagement of human beings in crucial aspects of decision-making. In this respect, a new perspective is emerging that aims at reconsidering the centrality of human beings while reaping the benefits of AI systems to augment rather than replace professional skills: Human-Centred AI (HCAI) is a novel framework that posits that high levels of human control do not contradict high levels of computer automation. In this paper, we investigate the two antipodes, automation vs augmentation, in the context of website usability evaluation. Specifically, we have analyzed whether the level of automation provided by a tool for semi-automatic usability evaluation can support evaluators in identifying usability problems. Three different visualizations, each one corresponding to a different level of automation, ranging from a full-automation approach to an augmentation approach, were compared in an experimental study. We found that a fully automated approach could help evaluators detect a significant number of medium and high-severity usability problems, which are the most critical in a software system; however, it also emerged that it was possible to detect more low-severity usability problems using one of the augmented approaches proposed in this paper. © The Author(s) 2024.",artificial intelligence; Artificial Intelligence; automation; Automation; human; Humans; Internet; software; Software; User-Computer Interface,7,14,Q1,Affective state detection,Deep learning,User interactions,yes,tool,desktop
Evaluation of the accessibility and usability of university websites: a comparative study of the Gulf region,"Fakrudeen, Mohammed",2024,journalArticle,,,,Universal Access in the Information Society,,Springer Nature,10.1007/s10209-024-01160-9,https://doi.org/10.1007/s10209-024-01160-9,"As websites serve as the cornerstone of educational institutions, evaluating their accessibility and usability is crucial. This study examines the accessibility and usability of 198 university homepages in the Gulf region: UAE, Bahrain, Kuwait, Oman, Qatar, and Saudi Arabia. Based on Webometrics ranking, a sample of websites was analyzed using automated online testing tools. The analysis revealed that universities in Bahrain, Oman, and Kuwait placed the highest focus on website accessibility and usability, followed by UAE and Saudi Arabia. While minimal compliance with the WCAG 2.0 standard was observed, no significant usability or accessibility issues were identified compared to other nations, though areas for improvement do exist. Recommendations for developers and administrators are presented, addressing accessibility and usability concerns and ensuring equal access to information for all stakeholders. This report provides valuable insights for enhancing website accessibility and usability in universities. © The Author(s) 2024.",Websites; Accessibility; Bahrain; Comparatives studies; Computer interaction; Gulf countries; Gulf region; Saudi Arabia; Usability; Website accessibility; Website usability; Human computer interaction,0,0,Q3,Usability attribute evaluation,Descriptive metrics,Source code,no,existing tools usage,desktop
Concurrent Think-Aloud Verbalizations and Usability Problems,"Fan, Mingming; Lin, Jinglan; Chung, Christina; Truong, Khai N.",2019,journalArticle,26,5,28:1–28:35,ACM Transactions on Computer-Human Interaction,,ACM,10.1145/3325281,https://doi.org/10.1145/3325281,"The concurrent think-aloud protocol—in which participants verbalize their thoughts when performing tasks—is a widely employed approach in usability testing. Despite its value, analyzing think-aloud sessions can be onerous because it often entails assessing all of a user's verbalizations. This has motivated previous research on developing categories to segment verbalizations into manageable units of analysis. However, the way in which a category might relate to usability problems is currently unclear. In this research, we sought to address this gap in our understanding. We also studied how speech features might relate to usability problems. Through two studies, this research demonstrates that certain patterns of verbalizations are more telling of usability problems than others and that these patterns are robust to different types of test products (i.e., physical devices and digital systems), access to different types of information (i.e., video and audio modality), and the presence or absence of a visualization of verbalizations. The implication is that the verbalization and speech patterns can potentially reduce the time and effort required for analysis by enabling evaluators to focus more on the important aspects of a user's verbalizations. The patterns could also potentially be used to inform the design of systems to automatically detect when in the recorded think-aloud sessions users experience problems.",verbalization categories; verbalization; verbal fillers; usability testing; usability problems; speech rate; speech features; silence; sentiment; pitch; loudness; Concurrent think-aloud,76,13.82,Q2,Usability issue encounter detection,Descriptive metrics,"Audio, Video",yes,prototype,desktop
Automatic Detection of Usability Problem Encounters in Think-aloud Sessions,"Fan, Mingming; Li, Yue; Truong, Khai N.",2020,journalArticle,10,2,,ACM Transactions on Interactive Intelligent Systems,,ACM,10.1145/3385732,https://doi.org/10.1145/3385732,"Think-aloud protocols are a highly valued usability testing method for identifying usability problems. Despite the value of conducting think-aloud usability test sessions, analyzing think-aloud sessions is often time-consuming and labor-intensive. Consequently, previous research has urged the community to develop techniques to support fast-paced analysis. In this work, we took the first step to design and evaluate machine learning (ML) models to automatically detect usability problem encounters based on users' verbalization and speech features in think-aloud sessions. Inspired by recent research that shows subtle patterns in users' verbalizations and speech features tend to occur when they encounter problems, we examined whether these patterns can be utilized to improve the automatic detection of usability problems. We first conducted and recorded think-aloud sessions and then examined the effect of different input features, ML models, test products, and users on usability problem encounters detection. Our work uncovers several technical and user interface design challenges and sets a baseline for automating usability problem detection and integrating such automation into UX practitioners' workflow. © 2020 ACM.",machine learning; Testing; AI-assisted UX analysis method; speech features; Think aloud; usability problem; user experience (UX); verbalization; User interfaces; Feature extraction; Usability engineering; Speech recognition; User interface designs; Usability problems; Automatic Detection; Labor intensive; Think-aloud protocol; Recent researches; Speech features; Usability testing methods,27,6,Q3,Usability issue encounter detection,"NLP, Deep learning, Machine learning",Audio,yes,prototype,"desktop, remote control, coffee machine"
VisTA: Integrating Machine Intelligence with Visualization to Support the Investigation of Think-Aloud Sessions,"Fan, Mingming; Wu, Ke; Zhao, Jian; Li, Yue; Wei, Winter; Truong, Khai N.",2020,journalArticle,26,1,343 – 352,IEEE Transactions on Visualization and Computer Graphics,,IEEE,10.1109/TVCG.2019.2934797,https://doi.org/10.1109/TVCG.2019.2934797,"Think-aloud protocols are widely used by user experience (UX) practitioners in usability testing to uncover issues in user interface design. It is often arduous to analyze large amounts of recorded think-aloud sessions and few UX practitioners have an opportunity to get a second perspective during their analysis due to time and resource constraints. Inspired by the recent research that shows subtle verbalization and speech patterns tend to occur when users encounter usability problems, we take the first step to design and evaluate an intelligent visual analytics tool that leverages such patterns to identify usability problem encounters and present them to UX practitioners to assist their analysis. We first conducted and recorded think-aloud sessions, and then extracted textual and acoustic features from the recordings and trained machine learning (ML) models to detect problem encounters. Next, we iteratively designed and developed a visual analytics tool, VisTA, which enables dynamic investigation of think-aloud sessions with a timeline visualization of ML predictions and input features. We conducted a between-subjects laboratory study to compare three conditions, i.e., VisTA, VisTASimple (no visualization of the ML's input features), and Baseline (no ML information at all), with 30 UX professionals. The findings show that UX professionals identified more problem encounters when using VisTA than Baseline by leveraging the problem visualization as an overview, anticipations, and anchors as well as the feature visualization as a means to understand what ML considers and omits. Our findings also provide insights into how they treated ML, dealt with (dis)agreement with ML, and reviewed the videos (i.e., play, pause, and rewind). © 2020 IEEE.",machine learning; Usability; Machine learning; Think aloud; User interfaces; Visualization; prediction; Feature extraction; user study; Usability engineering; Tools; Artificial intelligence; artificial intelligence; adult; female; human; article; human experiment; male; User study; videorecording; Usability problems; Visual analytics; Machine intelligence; usability problems; visual analytics; machine intelligence; session review behavior; Think-aloud; UX practices; anticipation,32,7.11,Q1,Usability issue encounter detection,"NLP, Deep learning, Machine learning",Audio,yes,tool,"desktop, remote control, coffee machine"
Human-AI Collaboration for UX Evaluation: Effects of Explanation and Synchronization,"Fan, Mingming; Yang, Xianyou; Yu, TszTung; Liao, Q. Vera; Zhao, Jian",2022,journalArticle,6,CSCW1,,Proceedings of the ACM on Human-Computer Interaction,,ACM,10.1145/3512943,https://doi.org/10.1145/3512943,"Analyzing usability test videos is arduous. Although recent research showed the promise of AI in assisting with such tasks, it remains largely unknown how AI should be designed to facilitate effective collaboration between user experience (UX) evaluators and AI. Inspired by the concepts of agency and work context in human and AI collaboration literature, we studied two corresponding design factors for AI-assisted UX evaluation: explanations and synchronization. Explanations allow AI to further inform humans how it identifies UX problems from a usability test session; synchronization refers to the two ways humans and AI collaborate: synchronously and asynchronously. We iteratively designed a tool-AI Assistant-with four versions of UIs corresponding to the two levels of explanations (with/without) and synchronization (sync/async). By adopting a hybrid wizard-of-oz approach to simulating an AI with reasonable performance, we conducted a mixed-method study with 24 UX evaluators identifying UX problems from usability test videos using AI Assistant. Our quantitative and qualitative results show that AI with explanations, regardless of being presented synchronously or asynchronously, provided better support for UX evaluators' analysis and was perceived more positively; when without explanations, synchronous AI better improved UX evaluators' performance and engagement compared to the asynchronous AI. Lastly, we present the design implications for AI-assisted UX evaluation and facilitating more effective human-AI collaboration.",Think aloud; user experience (UX); User interfaces; Usability engineering; Explainable AI; Synchronization; Collaboration; explanation; explainable AI; Iterative methods; Users' experiences; User interface designs; Usability tests; Explanation; User experience (UX); AI-assisted UX evaluation; Intelligent user interface design; Intelligent User Interfaces; Think-aloud usability test; collaboration; intelligent user interface (UI) design; synchronization; think-aloud usability test,52,20.8,Q2,Research assistants,Machine learning,"Audio, User interactions",yes,tool,desktop
"Affective-Ready, Contextual and Automated Usability Test for Mobile Software","Feijo Filho, Jackson; Prata, Wilson; Oliveira, Juan",2016,conferencePaper,,,638-644,Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MOBILEHCI,ACM,10.1145/2957265.2961834,https://doi.org/10.1145/2957265.2961834,"This work proposes the use of system to perform affective-ready, contextual and automated usability tests for mobile software. Our proposal augments the traditional methods of software usability evaluation by monitoring users' location, weather conditions, moving/stationary status, data connection availability and spontaneous facial expressions automatically. This aims to identify the moment of negative and positive events. Identifying those situations and systematically associating them to the context of interaction, assisted software creators to overcome design flaws and enhancing interfaces' strengths. The validation of our approach include post-test questionnaires with test subjects. The results indicate that the automated user-context logging can be a substantial supplement to mobile software usability tests.",Usability; Testing; Mobile Software; affective computing; usability; Usability engineering; Automation; Software testing; Surveys; Human computer interaction; Mobile devices; Computer software; Usability tests; Mobile softwares; Affective Computing; Facial Expressions; Data connection; Software usabilities; User context; mobile software,6,0.71,B,Affective state detection,"Machine learning, Computer vision","User movements, Video",yes,prototype,mobile
Extending Mobile App Analytics for Usability Test Logging,"Ferre, Xavier; Villalba, Elena; Julio, Hector; Zhu, Hongming",2017,conferencePaper,10515,III,114-131,Human-Computer Interaction–INTERACT 2017: 16th IFIP TC 13 International Conference,INTERACT,Springer Nature,10.1007/978-3-319-67687-6_9,https://doi.org/10.1007/978-3-319-67687-6_9,"Mobile application development is characterized by reduced development cycles and high time-to-market pressure. Usability evaluation in mobile applications calls for the application of cost-effective methods, specially adapted to such constraints. We propose extending the Google Analytics for Mobile Applications basic service to store specific low-level user actions of interest for usability evaluation purposes. The solution can serve both for lab usability testing, automating quantitative data gathering, and for logging real use after application release. It is based on identification of relevant user tasks and the detailed events worth gathering, instrumentation of specific code for data gathering, and subsequent data extraction for calculating relevant usability- related variables. We validated our application in a real usability test by comparing the automatically gathered data with the information gathered by the human observer. Results shows both measurements are statistically exchangeable, opening promising new ways to perform usability testing cost-effectively and at greater scale.",Usability engineering; Mobile applications; Human computer interaction; Mobile computing; Usability testing; Automated usability evaluation; Usability evaluation; Cost effectiveness; Mobile application development; Mobile telecommunication systems; Cost-effective methods; Log-file analysis; Related variables; Log file analysis; Usability evaluation of mobile applications,42,5.6,A,Usability attribute evaluation,Descriptive metrics,User interactions,yes,prototype,mobile
Automated Usability Tests for Mobile Devices through Live Emotions Logging,"Filho, Jackson Feijó; Valle, Thiago; Prata, Wilson",2015,conferencePaper,,,636–643,Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MOBILEHCI,ACM,10.1145/2786567.2792902,https://doi.org/10.1145/2786567.2792902,"Usability tests for mobile phones software present several consistent obstacles. The issue of observing users' interaction within a controlled and supervised environment versus unsupervised field tests is a significant one. Additionally, the burden of frequently time-consuming and expensive usability tests for small software development teams are evident. This work proposes the use of a system to implement emotions logging in automated usability tests for mobile phones. We do this by efficiently, easily and cost-effectively assessing the users' affective state by evaluating their expressive reactions during a mobile software usability evaluation process. These reactions are collected using the front camera on mobile devices.",Usability; Testing; Emotion Feedback; Mobile Software; Usability engineering; Software testing; Human computer interaction; Mobile devices; Computer software; Software design; Usability tests; Field test; Mobile softwares; Cellular telephone systems; Cellular telephones; Mobile phones; Software development teams; Telephone sets; Users' affective state,19,2,B,Affective state detection,"Machine learning, Computer vision","User interactions, Video",yes,prototype,mobile
Usability improvement through A/B testing and refactoring,"Firmenich, Sergio; Garrido, Alejandra; Grigera, Julián; Rivero, José Matías; Rossi, Gustavo",2019,journalArticle,27,1,203-240,Software Quality Journal,,Springer Nature,10.1007/s11219-018-9413-y,https://doi.org/10.1007/s11219-018-9413-y,"Usability evaluation is an essential task in web application development. There have been several attempts to integrate user-centered design with agile methods, but it is hard to synchronize their practices. User testing is very valuable to learn from feedback of actual use, but it remains expensive to find and solve usability problems. Furthermore, the high cost of usability evaluation forces small/medium-sized companies to trust the first solution applied, without actually testing the success of the solution or considering a possible regression in usability, as could be highlighted by an iterative testing method. In this article, we advocate for a usability improvement cycle oriented by user feedback, and compatible with an agile development process. We propose an iterative method supported by a toolkit that allows usability experts to design user tests, run them remotely, analyze results, and assess alternative solutions to usability problems similarly to A/B testing. Each solution is created by applying client-side web refactorings, i.e., changes to the web pages in the client which are meant to improve usability. The main benefit of our approach is that it reduces the overall cost of user testing and particularly, A/B testing, by applying refactorings to create alternative solutions without modifying the application’s server code. By making it affordable for usability experts to apply the method in parallel with the development cycle, we aim to encourage them to incorporate user feedback and try different ideas to discover the best-performing solution in terms of the metrics of interest.",A/B testing; Usability evaluation; Agile methods; External quality; Web refactoring,20,3.64,Q3,Usability issue encounter detection,Descriptive metrics,User interactions,yes,prototype,desktop
Framework for Electroencephalography-based Evaluation of User Experience,"Frey, Jérémy; Daniel, Maxime; Castet, Julien; Hachet, Martin; Lotte, Fabien",2016,conferencePaper,,,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/2858036.2858525,https://doi.org/10.1145/2858036.2858525,"Measuring brain activity with electroencephalography (EEG) is mature enough to assess mental states. Combined with existing methods, such tool can be used to strengthen the understanding of user experience. We contribute a set of methods to estimate continuously the user's mental workload, attention and recognition of interaction errors during different interaction tasks. We validate these measures on a controlled virtual environment and show how they can be used to compare different interaction techniques or devices, by comparing here a keyboard and a touch-based interface. Thanks to such a framework, EEG becomes a promising method to improve the overall usability of complex computer systems.",EEG; HCI Evaluation; Workload; Attention; Interaction errors; Neuroergonomy,90,10.59,A*,Usability attribute evaluation,Machine learning,"User interactions, Physiological signals",yes,prototype,desktop
Software Usability Testing Using EEG-Based Emotion Detection and Deep Learning,"Gannouni, Sofien; Belwafi, Kais; Aledaily, Arwa; Aboalsamh, Hatim; Belghith, Abdelfettah",2023,journalArticle,23,11,5147,Sensors,,MDPI,10.3390/s23115147,https://doi.org/10.3390/s23115147,"It is becoming increasingly attractive to detect human emotions using electroencephalography (EEG) brain signals. EEG is a reliable and cost-effective technology used to measure brain activities. This paper proposes an original framework for usability testing based on emotion detection using EEG signals, which can significantly affect software production and user satisfaction. This approach can provide an in-depth understanding of user satisfaction accurately and precisely, making it a valuable tool in software development. The proposed framework includes a recurrent neural network algorithm as a classifier, a feature extraction algorithm based on event-related desynchronization and event-related synchronization analysis, and a new method for selecting EEG sources adaptively for emotion recognition. The framework results are promising, achieving 92.13%, 92.67%, and 92.24% for the valence–arousal–dominance dimensions, respectively.",Brain-Computer Interface; channel selection; deep-learning; EEG signal processing; emotion detection; recurrent neural network; usability testing,4,2.67,Q2,Affective state detection,Deep learning,Physiological signals,yes,prototype,desktop
Predicting interaction effort in web interface widgets,"Gardey, Juan Cruz; Grigera, Julián; Rodríguez, Andrés; Rossi, Gustavo; Garrido, Alejandra",2022,journalArticle,168,,102919,International Journal of Human-Computer Studies,,Elsevier,10.1016/j.ijhcs.2022.102919,https://doi.org/10.1016/j.ijhcs.2022.102919,"The product of good design should render a tool invisible for a user who is executing a task. Unfortunately, web applications are often far from invisible to users, who struggle with poor design of websites and processes in them. We are particularly interested in web processes that involve form filling, so we have been studying how people interact with web forms. Besides cataloguing user interaction problems that are common in web forms, we have noticed that, in many cases, there is a single form element or widget to blame for a certain interaction problem, because such widget is not the most appropriate one for the required input in that particular context. This unfitness of the widget causes an extra burden to the user, which we call interaction effort. In this work we propose measuring the interaction effort of a widget with a unified score based on micro-measures automatically captured from interaction logs. We present the micro-measures that were found relevant to predict the interaction effort in 6 different types of web forms widgets. We describe a large data collection process and prediction models, showing that it is indeed possible to automatically predict a widget interaction effort score by learning from expert human ratings. We consequently believe that the interaction effort could be used as an effective metric to compare small variations in a design in terms of user experience.",Interactivity; User interaction metrics; User experience; Web usability; UX refactoring,12,4.8,Q1,Usability attribute evaluation,Machine learning,User interactions,yes,prototype,desktop
